id,name,street_address,postal_code,latitude,longitude,city_id,stars,review_count,is_open
mcdonaldsxxx387277902440,McDonald's,8983 Jennings Station Rd,63136,38.727753,-90.244079,406,1.0,5,1
mcdonaldsxxx395785861595,McDonald's,2556 S Sr 135,46143,39.5785806,-86.1595568,844,2.5,13,1
mcdonaldsxxx395840861005,McDonald's,2252 US Hwy 31 S,46143,39.5840045,-86.1005789,844,2.0,15,1
mcdonaldsxxx396148860793,McDonald's,1197 S Park Dr,46143,39.6148031,-86.0793279,844,1.5,25,1
mcdonaldsxxx396176861591,McDonald's,121 Marlin Dr,46142,39.6176823,-86.1591592,844,3.0,19,1
mcdonaldsxxx401004748694,McDonald's,75 Bristol Commerce Park,19007,40.1004621,-74.8694464,786,1.5,7,1
mcdonaldsxxx401250748812,McDonald's,3120 Veterans Hwy,19007,40.1250626,-74.8812765,786,1.5,10,1
mcdonaldsxxx401922747157,McDonald's,2603 S Broad St,8610,40.192228,-74.715752,659,2.0,9,1
mcdonaldsxxx402174747435,McDonald's,501 Chambers St,8609,40.2174128,-74.7435073,659,1.5,9,1
mcdonaldsxxx402183751389,McDonald's,250 Metro Dr,18976,40.2183027,-75.1389715,249,1.5,33,1
mcdonaldsxxx402185747545,McDonald's,72 S Clinton Ave,8609,40.2185495,-74.754556,659,1.0,5,1
mcdonaldsxxx402501747795,McDonald's,1885 N Olden Ave,8638,40.2501432,-74.7795716,659,2.5,18,1
mcgaughsdonu362488867194,McGaugh's Donuts,1111 S Gallatin Pike,37115,36.248804,-86.719416,599,5.0,78,1
mcguinnsplac402486747387,McGuinn's Place,1781 Brunswick Ave,8648,40.248658,-74.738756,659,3.5,23,1
mdliquorstor402138747542,M & D Liquor Store,501 S Clinton Ave,8611,40.2138962,-74.7542346,659,4.0,6,1
mdorientalma278406827011,MD Oriental Market,7580 49th St N,33781,27.8406546,-82.7011545,76,4.5,173,1
mdorientalma279425823397,MD Oriental Market Brandon,10127 E Adamo Dr,33619,27.9425313,-82.3397836,3,4.0,75,1
mdorientalma280559824472,MD Oriental Market,1106 E Fowler Ave,33612,28.055973,-82.447271,3,4.0,122,1
meadowpointc281795823195,Meadow Point Cafe And Deli,30036 County Line Rd,33543,28.179526,-82.319557,50,5.0,8,0
mealgrillxxx280250825120,Meal & Grill,"4040 W Waters Ave, Ste 108",33614,28.0250407,-82.5120301,3,4.0,32,0
meanerwiener279395824827,Meaner Wiener,500 S Howard Ave,33606,27.939589,-82.482718,3,4.0,30,0
meatdepotxxx280533824442,Meat Depot,1401 E Fowler Ave,33612,28.0533777,-82.4442952,3,3.5,10,1
meatmarketta279359824760,Meat Market Tampa,1606 W Snow Ave,33606,27.935911,-82.476079,3,3.5,497,1
mecafreshxxx280675827250,Mecafresh,3235 Tampa Rd,34684,28.0675269,-82.7250507,61,3.5,17,0
medellinbake279961825602,Medellín Bakery & Sandwich Shop,7026 W Hillsborough Ave,33634,27.9961584,-82.5602378,3,4.5,36,1
medilishmedi282343823522,Medilish Mediteranean Grill,5325 Village Market,33544,28.234302,-82.352265,50,4.5,44,1
mediterranea281510823541,Mediterranean Market,19440 Bruce B Downs Blvd,33647,28.15107,-82.354175,3,4.5,9,1
mediterranea282799826734,Mediterranean Grille,8536 Ridge Rd,34654,28.279923,-82.67345,228,4.5,61,0
meeteatresta278555827877,Meet & Eat Restaurant,9124 Seminole Blvd,33772,27.8555338,-82.7877341,217,4.5,7,1
meexitaxxxxx277708826522,Meexita,1320 Central Ave,33705,27.7708796,-82.6522054,5,4.5,7,0
megaburritox279621827763,mega burrito,1478 Gulf To Bay Blvd,33755,27.9621899,-82.7763673,21,4.0,6,1
megasupermar279855824503,Mega Supermarket,4407 N Nebraska Ave,33603,27.985551,-82.4503528,3,2.0,6,1
megumisushih402314751398,Megumi Sushi & Hibachi,638 Easton Rd,18976,40.2314235,-75.139889,249,3.0,7,0
meijerxxxxxx396142861619,Meijer,150 S Marlin Dr,46142,39.614282,-86.161959,844,3.0,26,1
meisworldpiz280807824318,Mei's World Pizza,2592 E Bearss Ave,33613,28.0807642,-82.4318998,3,4.5,117,1
meitingasian402690751289,Mei Ting Asian Fusion,1661 Easton Rd B12,18976,40.269018,-75.128904,249,4.0,126,1
mekenitacant280084824591,Mekenita Cantina,6707 N Florida Ave,33604,28.0084547,-82.4591511,3,4.0,276,1
mekenitamexi281242825009,Mekenita Mexican Grille,17623 Dale Mabry Hwy N,33548,28.124299,-82.5009463,159,4.0,163,0
mellowmushro279222823286,Mellow Mushroom - Brandon,10959 Causeway Blvd,33511,27.9222604,-82.3286704,22,4.0,391,1
mellowmushro279611827285,Mellow Mushroom - Clearwater,2630 Gulf To Bay Blvd,33759,27.9611573,-82.7285153,21,4.0,407,1
mellowmushro280574825821,Mellow Mushroom,11955 Sheldon Rd,33626,28.0574104,-82.5821657,3,4.0,303,0
mellowmushro281948823923,Mellow Mushroom - Wesley Chapel,25662 Sierra Center Blvd,33559,28.1948509,-82.3923645,159,4.0,176,1
melshotdogsx280329824124,Mel's Hot Dogs,4136 E Busch Blvd,33617,28.0329116,-82.4124436,3,4.0,274,1
melshouseofs280313824515,Mel's House  Of Smoke BBQ & Catering,8916 N Nebraska Ave,33610,28.0313163,-82.4515339,3,5.0,11,1
meltdowngril399143753479,Melt Down Grilled Cheese,1178 Baltimore Pike,19064,39.9143333,-75.3479629,374,4.0,39,0
meltdxxxxxxx282503827207,Melt'd,5641 Main St,34652,28.250371,-82.720758,228,4.5,28,1
